RSC,PI,KR,MH,Na,SAR,SSP,EC,IWQI,USABLE
0.0,0.5,2.8,76.0,80.2,31.7,42.2,3330.0,155.54900793650793,1.0
0.0,0.2,1.0,68.1,76.6,10.8,19.7,1717.0,90.37321428571428,1.0
0.0,0.2,1.1,63.0,80.8,12.5,18.5,6209.0,166.99126984126983,1.0
0.0,0.4,2.3,62.0,75.0,31.9,40.1,9907.0,255.4700396825397,1.0
0.0,0.6,3.3,71.9,79.6,48.5,55.7,1560.0,144.0626984126984,1.0
0.0,0.3,1.0,82.3,89.4,17.9,45.3,1230.0,101.15496031746032,1.0
0.0,0.3,1.7,79.8,80.7,13.0,36.6,1120.0,96.23343253968254,1.0
0.0,0.3,1.1,67.1,72.8,16.7,60.4,1192.0,95.30912698412698,1.0
0.0,0.4,1.2,50.4,71.2,17.3,73.9,1192.0,95.27698412698413,1.0
0.0,0.2,1.2,73.8,75.7,8.3,50.9,1090.0,88.79751984126985,1.0
0.0,0.3,0.9,83.2,84.9,22.8,52.8,1240.0,104.58482142857143,1.0
0.0,0.4,1.0,74.5,74.5,22.6,69.9,1190.0,103.31378968253968,1.0
0.0,0.5,1.0,82.2,82.5,23.6,76.6,1165.0,109.7094246031746,1.0
0.0,0.3,2.0,57.3,67.6,14.7,49.1,1165.0,94.0702380952381,1.0
0.0,0.3,1.6,35.8,74.5,15.1,63.0,1193.0,91.73759920634922,1.0
0.0,0.4,0.9,23.6,81.0,24.1,40.6,1260.0,86.6700396825397,1.0
0.0,0.4,0.7,64.6,72.4,24.8,32.0,1000.0,86.56865079365079,1.0
0.0,0.4,0.7,41.8,77.5,14.1,39.7,960.0,76.29017857142857,1.0
0.0,0.5,1.2,64.7,74.5,24.8,52.3,1145.0,98.92609126984127,1.0
0.0,0.4,1.6,62.6,81.0,18.4,46.5,1410.0,102.27003968253968,1.0
0.0,0.3,1.5,64.9,72.4,8.8,59.5,1378.0,95.35634920634922,1.0
0.0,0.3,1.1,67.2,79.5,15.2,42.1,1164.0,91.34454365079367,1.0
0.0,0.5,0.8,65.5,67.3,38.8,28.4,1380.0,101.20664682539682,1.0
0.0,0.4,1.6,52.8,73.9,19.1,23.2,1560.0,94.7624007936508,1.0
